population;region;country;lat;lon;tool;toolset;tooltype;toolclass;toolgroup;use;preparation;sequence;popcomplexity;Toolcomplexity;Toolsetcomplexity;tooldetail;Behaviour
Boe;W;GuineaBissau;11.86054725;-14.07014562;Nut woodhammer;Nut;Nuthammer;Nutcracking;Nut;0;NA;0;NA;9;9;Nut woodhammer;Pound
Boe;W;GuineaBissau;11.86054725;-14.07014562;Stone pound;Stonepound;Smash;Smash;Smash;NA;NA;NA;NA;1;1;Stone pound;Smash
Boe;W;GuineaBissau;11.86054725;-14.07014562;Termite fishing;Epigaiec termitefishing;Termitefish;Termitefish;Termite;NA;NA;NA;NA;12;18;Termite fishingepigaeic;Dip
Boe;W;GuineaBissau;11.86054725;-14.07014562;Termite fishing;Underground termitefishing;Termitefish;Termitedig;Termite;NA;NA;NA;NA;12;18;Termite fishingunder;Dip
Boe;W;GuineaBissau;11.86054725;-14.07014562;Termite perforating;Epigaiec termitefishing;Termiteperforate;Termitefish;Termite;NA;NA;NA;NA;10;18;Termite perforating;Perforate
Boe;W;GuineaBissau;11.86054725;-14.07014562;Termite puncturing;Underground termitefishing;Termitepuncture;Termitedig;Termite;NA;NA;NA;NA;10;18;Termite puncturing;Dig
Boe;W;GuineaBissau;11.86054725;-14.07014562;Wood pound;Woodpound;Smash;Smash;Smash;NA;NA;NA;NA;1;1;Wood pound;Smash
Budongo;E;Uganda;1.736033555;31.531515;Ant dipping;Driver antnest;Antdip;Antdip;Ant;0;NA;0;NA;8;10;Ant dippingnest;Dip
Budongo;E;Uganda;1.736033555;31.531515;Ant fishingprobe;Arboreal ants;Antfishing;Antfish;Ant;NA;NA;NA;NA;7;7;Ant fishingprobe;Dip
Budongo;E;Uganda;1.736033555;31.531515;Ant perforatingstick;Driver antnest;Antperforate;Antdip;Ant;0;NA;0;NA;6;10;Ant perforatingstick;Perforate
Budongo;E;Uganda;1.736033555;31.531515;Honey dig;Underground honeydig;Honeydig;Honeydig;Honey;0;NA;0;NA;6;10;Honey dig;Perforate
Budongo;E;Uganda;1.736033555;31.531515;Honey dip;Underground stinglessbee;Honeydip;Honeydig;Honey;0;NA;0;NA;8;12;Honey dipumeli;Dip
Budongo;E;Uganda;1.736033555;31.531515;Honey dipaerial;Aerial honey;Honeydip;Honeydip;Honey;NA;NA;NA;NA;22;36;Honey dipameli;Dip
Budongo;E;Uganda;1.736033555;31.531515;Honey lever;Aerial honey;Honeylever;Honeydip;Honey;0;NA;0;NA;20;36;Honey leverameli;Perforate
Budongo;E;Uganda;1.736033555;31.531515;Honey perforate;Underground stinglessbee;Honeyperforate;Honeydig;Honey;0;NA;0;NA;8;12;Honey perforate;Dig
Budongo;E;Uganda;1.736033555;31.531515;Honey pound;Aerial honey;Honeypound;Honeydip;Honey;0;NA;0;NA;20;36;Honey poundmeli;Pound
Budongo;E;Uganda;1.736033555;31.531515;Honey swab;Aerial honey;Honeyswab;Honeydip;Honey;0;NA;0;NA;22;36;Honey swab;Dip
Budongo;E;Uganda;1.736033555;31.531515;Honey whiskswat;Honey whiskswat;Honeywhiskswat;Honeydip;Honey;0;NA;0;NA;1;1;Honey whiskswat;Whisk
Budongo;E;Uganda;1.736033555;31.531515;Leafsponge;Leafsponge;Leafsponge;Leafsponge;Leaf;1;1;1;3;3;3;Leafsponge;Sponge
Budongo;E;Uganda;1.736033555;31.531515;Marrow pick;Marrow;Marrowpick;Marrowpick;Marrow;0;NA;0;NA;1;1;Marrow pick;Dip
Budongo;E;Uganda;1.736033555;31.531515;Nut branchanvil;Nut;Nutanvil;Nutcracking;Nut;0;NA;0;NA;9;9;Nut branchanvil;Smash
Budongo;E;Uganda;1.736033555;31.531515;Nut pick;Nut;Nutpick;Nutcracking;Nut;0;NA;0;NA;9;9;Nut pick;Dip
Budongo;E;Uganda;1.736033555;31.531515;Nut rootanvil;Nut;Nutanvil;Nutcracking;Nut;0;NA;0;NA;9;9;Nut rootanvil;Smash
Budongo;E;Uganda;1.736033555;31.531515;Nut stoneanvil;Nut;Nutanvil;Nutcracking;Nut;0;NA;0;NA;9;9;Nut stoneanvil;Smash
Budongo;E;Uganda;1.736033555;31.531515;Nut stonehammer;Nut;Nuthammer;Nutcracking;Nut;0;NA;0;NA;9;9;Nut stonehammer;Pound
Budongo;E;Uganda;1.736033555;31.531515;Nut woodhammer;Nut;Nuthammer;Nutcracking;Nut;0;NA;0;NA;9;9;Nut woodhammer;Pound
Budongo;E;Uganda;1.736033555;31.531515;Stone pound;Stonepound;Smash;Smash;Smash;0;NA;0;NA;1;1;Stone pound;Smash
Budongo;E;Uganda;1.736033555;31.531515;Termite fishing;Epigaiec termitefishing;Termitefish;Termitefish;Termite;NA;NA;NA;NA;12;18;Termite fishingepigaeic;Dip
Budongo;E;Uganda;1.736033555;31.531515;Termite fishing;Underground termitefishing;Termitefish;Termitedig;Termite;0;NA;0;NA;12;18;Termite fishingunder;Dip
Budongo;E;Uganda;1.736033555;31.531515;Termite perforating;Epigaiec termitefishing;Termiteperforate;Termitefish;Termite;0;NA;0;NA;10;18;Termite perforating;Perforate
Budongo;E;Uganda;1.736033555;31.531515;Termite puncturing;Underground termitefishing;Termitepuncture;Termitedig;Termite;0;NA;0;NA;10;18;Termite puncturing;Dig
Budongo;E;Uganda;1.736033555;31.531515;Wood pound;Woodpound;Smash;Smash;Smash;1;0;1;1;1;1;Wood pound;Smash
Bwindi;E;Uganda;-1.04902414;29.76635121;Ant dipping;Driver antnest;Antdip;Antdip;Ant;NA;NA;NA;NA;8;10;Ant dippingnest;Dip
Bwindi;E;Uganda;-1.04902414;29.76635121;Ant fishingprobe;Arboreal ants;Antfishing;Antfish;Ant;NA;NA;NA;NA;7;7;Ant fishingprobe;Dip
Bwindi;E;Uganda;-1.04902414;29.76635121;Ant perforatingstick;Driver antnest;Antperforate;Antdip;Ant;NA;NA;NA;NA;6;10;Ant perforatingstick;Perforate
Bwindi;E;Uganda;-1.04902414;29.76635121;Honey dig;Underground honeydig;Honeydig;Honeydig;Honey;0;NA;0;NA;6;10;Honey dig;Perforate
Bwindi;E;Uganda;-1.04902414;29.76635121;Honey dip;Underground stinglessbee;Honeydip;Honeydig;Honey;0;NA;0;NA;8;12;Honey dipumeli;Dip
Bwindi;E;Uganda;-1.04902414;29.76635121;Honey dipaerial;Aerial honey;Honeydip;Honeydip;Honey;1;NA;1;NA;22;36;Honey dipameli;Dip
Bwindi;E;Uganda;-1.04902414;29.76635121;Honey lever;Aerial honey;Honeylever;Honeydip;Honey;0;NA;0;NA;13;23;Honey leverapis;Perforate
Bwindi;E;Uganda;-1.04902414;29.76635121;Honey perforate;Underground stinglessbee;Honeyperforate;Honeydig;Honey;0;NA;0;NA;8;12;Honey perforate;Dig
Bwindi;E;Uganda;-1.04902414;29.76635121;Honey pound;Aerial honey;Honeypound;Honeydip;Honey;0;NA;0;NA;20;36;Honey poundmeli;Pound
Bwindi;E;Uganda;-1.04902414;29.76635121;Honey swab;Aerial honey;Honeyswab;Honeydip;Honey;0;NA;0;NA;22;36;Honey swab;Dip
Bwindi;E;Uganda;-1.04902414;29.76635121;Honey whiskswat;Honey whiskswat;Honeywhiskswat;Honeydip;Honey;0;NA;0;NA;1;1;Honey whiskswat;Whisk
Bwindi;E;Uganda;-1.04902414;29.76635121;Leafsponge;Leafsponge;Leafsponge;Leafsponge;Leaf;NA;NA;NA;NA;3;3;Leafsponge;Sponge
Bwindi;E;Uganda;-1.04902414;29.76635121;Marrow pick;Marrow;Marrowpick;Marrowpick;Marrow;NA;NA;NA;NA;1;1;Marrow pick;Dip
Bwindi;E;Uganda;-1.04902414;29.76635121;Nut branchanvil;Nut;Nutanvil;Nutcracking;Nut;NA;NA;NA;NA;9;9;Nut branchanvil;Smash
Bwindi;E;Uganda;-1.04902414;29.76635121;Nut pick;Nut;Nutpick;Nutcracking;Nut;NA;NA;NA;NA;9;9;Nut pick;Dip
Bwindi;E;Uganda;-1.04902414;29.76635121;Nut rootanvil;Nut;Nutanvil;Nutcracking;Nut;NA;NA;NA;NA;9;9;Nut rootanvil;Smash
